"taxa","species"
"fish","Abramis brama"
"fish","Alburnus alburnus"
"fish","Anguilla anguilla"
"fish","Blicca bjoerkna"
"fish","Carassius carassius"
"fish","Coregonus albula"
"fish","Coregonus lavaretus"
"fish","Cottus gobio"
"fish","Cottus poecilopus"
"fish","Esox lucius"
"fish","Gasterosteus aculeatus"
"fish","Gymnocephalus cernuus"
"fish","Lampetra fluviatilis"
"fish","Lampetra planeri"
"fish","Leuciscus aspius"
"fish","Lethenteron camtschaticum"
"fish","Leuciscus cephalus"
"fish","Leuciscus idus"
"fish","Leuciscus leuciscus"
"fish","Lota lota"
"fish","Myoxocephalus quadricornis"
"fish","Osmerus eperlanus"
"fish","Perca fluviatilis"
"fish","Petromyzon marinus"
"fish","Phoxinus phoxinus"
"fish","Pungitius pungitius"
"fish","Rutilus rutilus"
"fish","Salmo salar"
"fish","Salmo trutta"
"fish","Salvelinus alpinus"
"fish","Sander lucioperca"
"fish","Scardinius erythrophthalmus"
"fish","Thymallus thymallus"
"aquaticPlants","Baldellia repens"
"aquaticPlants","Calamistrum globuliferum"
"aquaticPlants","Crassula aquatica"
"aquaticPlants","Crassula helmsii"
"aquaticPlants","Elatine hexandra"
"aquaticPlants","Elatine hydropiper"
"aquaticPlants","Elatine orthosperma"
"aquaticPlants","Elatine triandra"
"aquaticPlants","Eleocharis acicularis"
"aquaticPlants","Eleocharis parvula"
"aquaticPlants","Isoetes echinospora"
"aquaticPlants","Isoetes lacustris"
"aquaticPlants","Limosella aquatica"
"aquaticPlants","Littorella uniflora"
"aquaticPlants","Lobelia dortmanna"
"aquaticPlants","Lythrum portula"
"aquaticPlants","Persicaria foliosa"
"aquaticPlants","Ranunculus reptans"
"aquaticPlants","Subularia aquatica"
"aquaticPlants","Callitriche brutia"
"aquaticPlants","Callitriche cophocarpa"
"aquaticPlants","Callitriche hamulata"
"aquaticPlants","Callitriche hermaphroditica"
"aquaticPlants","Callitriche palustris"
"aquaticPlants","Callitriche platycarpa"
"aquaticPlants","Callitriche stagnalis"
"aquaticPlants","Ceratophyllum demersum"
"aquaticPlants","Elatine alsinastrum"
"aquaticPlants","Elodea canadensis"
"aquaticPlants","Elodea nuttallii"
"aquaticPlants","Groenlandia densa"
"aquaticPlants","Hippuris lanceolata"
"aquaticPlants","Hippuris tetraphylla"
"aquaticPlants","Hippuris vulgaris"
"aquaticPlants","Juncus bulbosus"
"aquaticPlants","Myriophyllum alterniflorum"
"aquaticPlants","Myriophyllum sibiricum"
"aquaticPlants","Myriophyllum spicatum"
"aquaticPlants","Myriophyllum verticillatum"
"aquaticPlants","Najas flexilis"
"aquaticPlants","Najas marina"
"aquaticPlants","Potamogeton alpinus"
"aquaticPlants","Potamogeton berchtoldii"
"aquaticPlants","Potamogeton compressus"
"aquaticPlants","Potamogeton crispus"
"aquaticPlants","Potamogeton friesii"
"aquaticPlants","Potamogeton gramineus"
"aquaticPlants","Potamogeton lucens"
"aquaticPlants","Potamogeton obtusifolius"
"aquaticPlants","Potamogeton perfoliatus"
"aquaticPlants","Potamogeton praelongus"
"aquaticPlants","Potamogeton pusillus"
"aquaticPlants","Potamogeton rutilus"
"aquaticPlants","Potamogeton trichoides"
"aquaticPlants","Potamogeton cognatus"
"aquaticPlants","Potamogeton semifructus"
"aquaticPlants","Ranunculus aquatilis"
"aquaticPlants","Ranunculus circinatus"
"aquaticPlants","Ranunculus confervoides"
"aquaticPlants","Ranunculus peltatus"
"aquaticPlants","Ranunculus trichophyllus"
"aquaticPlants","Ruppia cirrhosa"
"aquaticPlants","Ruppia maritima"
"aquaticPlants","Stuckenia filiformis"
"aquaticPlants","Stuckenia pectinata"
"aquaticPlants","Stuckenia vaginata"
"aquaticPlants","Utricularia australis"
"aquaticPlants","Utricularia intermedia"
"aquaticPlants","Utricularia minor"
"aquaticPlants","Utricularia ochroleuca"
"aquaticPlants","Utricularia stygia"
"aquaticPlants","Utricularia vulgaris"
"aquaticPlants","Zannichellia major"
"aquaticPlants","Zannichellia palustris"
"aquaticPlants","Zannichellia palustris pedicellata"
"aquaticPlants","Zostera angustifolia"
"aquaticPlants","Zostera marina"
"aquaticPlants","Zostera noltii"
"aquaticPlants","Eleogiton fluitans"
"aquaticPlants","Luronium natans"
"aquaticPlants","Nuphar lutea"
"aquaticPlants","Nuphar pumila"
"aquaticPlants","Nymphaea alba"
"aquaticPlants","Nymphoides peltata"
"aquaticPlants","Persicaria amphibia"
"aquaticPlants","Potamogeton natans"
"aquaticPlants","Potamogeton polygonifolius"
"aquaticPlants","Sagittaria sagittifolia"
"aquaticPlants","Sagittaria lunata"
"aquaticPlants","Sparganium angustifolium"
"aquaticPlants","Sparganium emersum"
"aquaticPlants","Sparganium glomeratum"
"aquaticPlants","Sparganium gramineum"
"aquaticPlants","Sparganium hyperboreum"
"aquaticPlants","Sparganium natans"
"aquaticPlants","Azolla filiculoides"
"aquaticPlants","Hydrocharis morsus-ranae"
"aquaticPlants","Lemna gibba"
"aquaticPlants","Lemna japonica"
"aquaticPlants","Lemna minor"
"aquaticPlants","Lemna minuta"
"aquaticPlants","Lemna trisulca"
"aquaticPlants","Lemna turionifera"
"aquaticPlants","Pistia stratiotes"
"aquaticPlants","Ricciocarpos natans"
"aquaticPlants","Spirodela polyrhiza"
"aquaticPlants","Stratiotes aloides"
"aquaticPlants","Chara aculeolata"
"aquaticPlants","Chara aspera"
"aquaticPlants","Chara baltica"
"aquaticPlants","Chara braunii"
"aquaticPlants","Chara canescens"
"aquaticPlants","Chara contraria"
"aquaticPlants","Chara curta"
"aquaticPlants","Chara globularis"
"aquaticPlants","Chara hispida"
"aquaticPlants","Chara papillosa"
"aquaticPlants","Chara strigosa"
"aquaticPlants","Chara subspinosa"
"aquaticPlants","Chara tomentosa"
"aquaticPlants","Chara virgata"
"aquaticPlants","Chara vulgaris"
"aquaticPlants","Lamprothamnium papulosum"
"aquaticPlants","Nitella confervacea"
"aquaticPlants","Nitella flexilis"
"aquaticPlants","Nitella gracilis"
"aquaticPlants","Nitella mucronata"
"aquaticPlants","Nitella opaca"
"aquaticPlants","Nitella translucens"
"aquaticPlants","Nitella wahlbergiana"
"aquaticPlants","Tolypella canadensis"
"aquaticPlants","Tolypella nidifica"
"aquaticPlants","Tolypella normaniana"
"insects","Hydrachnidae"
"insects","Hydrodromidae"
"insects","Hydrophantidae"
"insects","Argyroneta aquatica"
"insects","Dytiscidae"
"insects","Gyrinidae"
"insects","Haliplidae"
"insects","Noteridae"
"insects","Helophorus nubilus"
"insects","Helophorus tuberculatus"
"insects","Helophorus sibiricus"
"insects","Helophorus aquaticus"
"insects","Helophorus aequalis"
"insects","Helophorus grandis"
"insects","Helophorus strandi"
"insects","Helophorus brevipalpis"
"insects","Helophorus arvernicus"
"insects","Helophorus glacialis"
"insects","Helophorus granularis"
"insects","Helophorus discrepans"
"insects","Helophorus minutus"
"insects","Helophorus lapponicus"
"insects","Helophorus fulgidicollis"
"insects","Helophorus griseus"
"insects","Helophorus nanus"
"insects","Helophorus redtenbacheri"
"insects","Helophorus pumilio"
"insects","Helophorus pallidus"
"insects","Helophorus laticollis"
"insects","Helophorus strigifrons"
"insects","Helophorus asperatus"
"insects","Helophorus flavipes"
"insects","Helophorus obscurus"
"insects","Hydrochus elongatus"
"insects","Hydrochus ignicollis"
"insects","Hydrochus carinatus"
"insects","Hydrochus brevis"
"insects","Hydrochus megaphallus"
"insects","Spercheus emarginatus"
"insects","Berosus spinosus"
"insects","Berosus fulvus"
"insects","Berosus jaechi"
"insects","Berosus frontifoveatus"
"insects","Berosus signaticollis"
"insects","Berosus luridus"
"insects","Chaetarthria seminulum"
"insects","Paracymus aeneus"
"insects","Anacaena globulus"
"insects","Anacaena lutescens"
"insects","Anacaena limbata"
"insects","Laccobius decorus"
"insects","Laccobius minutus"
"insects","Laccobius biguttatus"
"insects","Laccobius sinuatus"
"insects","Laccobius striatulus"
"insects","Laccobius bipunctatus"
"insects","Helochares punctatus"
"insects","Helochares obscurus"
"insects","Enochrus melanocephalus"
"insects","Enochrus ochropterus"
"insects","Enochrus fuscipennis"
"insects","Enochrus quadripunctatus"
"insects","Enochrus halophilus"
"insects","Enochrus bicolor"
"insects","Enochrus testaceus"
"insects","Enochrus affinis"
"insects","Enochrus coarctatus"
"insects","Cymbiodyta marginella"
"insects","Hydrobius fuscipes"
"insects","Hydrobius arcticus"
"insects","Limnoxenus niger"
"insects","Hydrochara caraboides"
"insects","Hydrophilus piceus"
"insects","Hydrophilus aterrimus"
"insects","Coleostoma orbiculare"
"insects","Cercyon ustulatus"
"insects","Cercyon laminatus"
"insects","Cercyon littoralis"
"insects","Cercyon depressus"
"insects","Cercyon obsoletus"
"insects","Cercyon impressus"
"insects","Cercyon haemorrhoidalis"
"insects","Cercyon melanocephalus"
"insects","Cercyon emarginatus"
"insects","Cercyon borealis"
"insects","Cercyon lateralis"
"insects","Cercyon bifenestratus"
"insects","Cercyon marinus"
"insects","Cercyon unipunctatus"
"insects","Cercyon quisquilius"
"insects","Cercyon terminatus"
"insects","Cercyon pygmaeus"
"insects","Cercyon atricapillus"
"insects","Cercyon  granarius"
"insects","Cercyon tristis"
"insects","Cercyon convexiusculus"
"insects","Cercyon sternalis"
"insects","Cercyon analis"
"insects","Megasternum obscurum"
"insects","Cryptopleurum subtile"
"insects","Cryptopleurum minutum"
"insects","Cryptopleurum crenatum"
"insects","Sphaeridium marginatum"
"insects","Sphaeridium bipustulatum"
"insects","Sphaeridium substriatum"
"insects","Sphaeridium scarabaeoides"
"insects","Sphaeridium lunatum"
"insects","Ochthebius auriculatus"
"insects","Ochthebius dilatatus"
"insects","Ochthebius bicolon"
"insects","Ochthebius czwalinae"
"insects","Ochthebius kaninensis"
"insects","Ochthebius rugolosus"
"insects","Ochthebius nilsoni"
"insects","Ochthebius marinus"
"insects","Ochthebius lenensis"
"insects","Ochthebius virdis"
"insects","Ochthebius evanenscens"
"insects","Hydraena testacea"
"insects","Hydraena palustris"
"insects","Hydraena britteni"
"insects","Hydraena riparia"
"insects","Hydraena nigrita"
"insects","Hydraena pulchella"
"insects","Hydraena gracilis"
"insects","Hydraena excisa"
"insects","Limnebius truncatellus"
"insects","Limnebius papposus"
"insects","Limnebius crinifer"
"insects","Limnebius parvulus"
"insects","Limnebius nitidus"
"insects","Limnebius aluta"
"insects","Georissus crenulatus"
"insects","Elodes minuta"
"insects","Elodes pseudominuta"
"insects","Elodes tricuspis"
"insects","Elodes marginata"
"insects","Microcara testacea"
"insects","Cyphon coarctatus"
"insects","Cyphon palustris"
"insects","Cyphon kongsbergensis"
"insects","Cyphon ochraceus"
"insects","Cyphon variabilis"
"insects","Cyphon phragmiteticola"
"insects","Cyphon pubescens"
"insects","Cyphon punctipennis"
"insects","Cyphon padi"
"insects","Cyphon hilaris"
"insects","Prionocyphon serricornis"
"insects","Scirtes hemisphaericus"
"insects","Scirtes orbicularis"
"insects","Eubria palustris"
"insects","Dryops auriculatus"
"insects","Dryops anglicanus"
"insects","Dryops griseus"
"insects","Dryops similaris"
"insects","Dryops ernesti"
"insects","Dryops luridus"
"insects","Dryops nitidulus"
"insects","Elmidae"
"insects","Plateumaris braccata"
"insects","Plateumaris consimilis"
"insects","Plateumaris rustica"
"insects","Plateumaris sericea"
"insects","Plateumaris discolor"
"insects","Plateumaris weisei"
"insects","Donacia clavipes"
"insects","Donacia cinerea"
"insects","Donacia tomentosa"
"insects","Donacia antiqua"
"insects","Donacia aquatica"
"insects","Donacia aureocincta"
"insects","Donacia bicolor"
"insects","Donacia brevicornis"
"insects","Donacia brevitarsis"
"insects","Donacia dentata"
"insects","Donacia fennica"
"insects","Donacia impressa"
"insects","Donacia marginata"
"insects","Donacia obscura"
"insects","Donacia semicuprea"
"insects","Donacia simplex"
"insects","Donacia sparganii"
"insects","Donacia springeri"
"insects","Donacia thalassina"
"insects","Donacia versicolorea"
"insects","Donacia vulgaris"
"insects","Donacia crassipes"
"insects","Macroplea appendiculata"
"insects","Macroplea mutica"
"insects","Macroplea pubipennis"
"insects","Dicranthus elegans"
"insects","Hydronomus alismatis"
"insects","Ephimeropus petro"
"insects","Bagous angustus"
"insects","Bagous frivaldszkyi"
"insects","Bagous binodulus"
"insects","Bagous nodulosus"
"insects","Bagous argillaceus"
"insects","Bagous limosus"
"insects","Bagous subcarinatus"
"insects","Bagous longitarsis"
"insects","Bagous collignensis"
"insects","Bagous claudicans"
"insects","Bagous frit"
"insects","Bagous brevis"
"insects","Bagous tempestivus"
"insects","Bagous czwalinae"
"insects","Bagous lutosus"
"insects","Bagous puncticollis"
"insects","Bagous robustus"
"insects","Bagous lutulentus"
"insects","Bagous glabrirostris"
"insects","Eubrychius velutus"
"insects","Phytobius leucogaster"
"insects","Prionocera turcica"
"insects","Tipula salicetorum"
"insects","Tipula rufina"
"insects","Tipula lateralis"
"insects","Tipula montium"
"insects","Tipula pruinosa"
"insects","Phalacrocera replicata"
"insects","Triogma trisulcata"
"insects","Dicranota bimaculata"
"insects","Dicranota crassicauda"
"insects","Dicranota guerini"
"insects","Dicranota gracilipes"
"insects","Dicranota pavida"
"insects","Dicranota robusta"
"insects","Dicranota subtilis"
"insects","Dicranota exclusa"
"insects","Nasiternella varinervis"
"insects","Pedicia littoralis"
"insects","Pedicia straminea"
"insects","Pedicia arctica"
"insects","Pedicia rivosa rivosa"
"insects","Tricyphona immaculata"
"insects","Tricyphona livida"
"insects","Tricyphona schummeli"
"insects","Tricyphona unicolor"
"insects","Ula bolitophila"
"insects","Ula mixta"
"insects","Ula mollissima"
"insects","Ula sylvatica"
"insects","Adelphomyia punctum"
"insects","Austrolinnophila harpeli"
"insects","Austrolinnophila unica"
"insects","Austrolinnophila ochracea"
"insects","Eloeophila maculata"
"insects","Eloeophila muadata"
"insects","Eloeophila submarmorata"
"insects","Eloeophila trimaculata"
"insects","Eloeophila verralli"
"insects","Ephiphragma ocellare ocellare"
"insects","Eubrychius velutus"
"insects","Euphylidorea aperta"
"insects","Euphylidorea dispar"
"insects","Euphylidorea lineola"
"insects","Euphylidorea meigenii"
"insects","Euphylidorea phaeostigma"
"insects","Eutonia barbipes"
"insects","Hexatoma fuscipennis"
"insects","Hexatoma nubeculosa nubeculosa"
"insects","Hexatoma vittata"
"insects","Idioptera linnei"
"insects","Idioptera macropteryx"
"insects","Idioptera pulchella"
"insects","Limnophila pictipennis"
"insects","Limnophila schranki"
"insects","Neolimnomyia nemoralis"
"insects","Neolimnomyia batava"
"insects","Neolimnomyia filata"
"insects","Paradelphomyia fuscula"
"insects","Paradelphomyia nielseni"
"insects","Paradelphomyia nigrina"
"insects","Paradelphomyia senilis"
"insects","Phylidorea nigronotata nigronotata"
"insects","Phylidorea fulvonervosa"
"insects","Phylidorea abdominalis"
"insects","Phylidorea bicolor"
"insects","Phylidorea ferruginea"
"insects","Phylidorea heterogyna"
"insects","Phylidorea longicornis longicornis"
"insects","Phylidorea nervosa"
"insects","Phylidorea squalens squalens"
"insects","Phylidorea umbrarum"
"insects","Pilaria decolor"
"insects","Pilaria discicollis discicollis"
"insects","Pilaria fuscipennis"
"insects","Pilaria meridiana"
"insects","Pilaria nigropunctata"
"insects","Pilaria scutellata"
"insects","Prionolabis hospes"
"insects","Pseudolimnophila lucorum"
"insects","Pseudolimnophila sepium"
"insects","Arctoconopa forcipata forcipata"
"insects","Arctoconopa melampodia"
"insects","Arctoconopa obscuripes"
"insects","Arctoconopa quadrivittata"
"insects","Arctoconopa zonata"
"insects","Cheilotrichia imbuta"
"insects","Cheilotrichia areolata"
"insects","Cheilotrichia cinerascens"
"insects","Cheilotrichia neglecta"
"insects","Chionea araneoides"
"insects","Chionea crassipes"
"insects","Chionea belgica"
"insects","Chionea lutescens lutescens"
"insects","Crypteria limnophiloides"
"insects","Ellipteroides lateralis"
"insects","Erioconopa diuturna"
"insects","Erioconopa symplectoides"
"insects","Erioconopa trivialis"
"insects","Erioptera beckeri"
"insects","Erioptera divisa"
"insects","Erioptera flavata"
"insects","Erioptera fuscipennis"
"insects","Erioptera fusculenta"
"insects","Erioptera griseipennis"
"insects","Erioptera lutea lutea"
"insects","Erioptera nielseni"
"insects","Erioptera nyblaei"
"insects","Erioptera pederi"
"insects","Erioptera sordida"
"insects","Erioptera squalida"
"insects","Erioptera tordi"
"insects","Erioptera bivittata"
"insects","Gnophomyia lugubris"
"insects","Gnophomyia virdipennis"
"insects","Gonempeda flava"
"insects","Gonomyia abscondita"
"insects","Gonomyia bifida"
"insects","Gonomyia conoviensis"
"insects","Gonomyia dentata"
"insects","Gonomyia ingrica"
"insects","Gonomyia lappona"
"insects","Gonomyia lucidula"
"insects","Gonomyia recta"
"insects","Gonomyia simplex"
"insects","Gonomyia stackelbergi"
"insects","Gonomyia tenella"
"insects","Gonomyia abbreviata"
"insects","Gonomyia edwardsi"
"insects","Hoplolabis areolata"
"insects","Hoplolabis subalpina"
"insects","Hoplolabis vicina"
"insects","Hoplolabis yezoana"
"insects","Idiocera pulchripennis"
"insects","Ilisia maculata"
"insects","Ilisia occoecata"
"insects","Molophilus appendiculatus"
"insects","Molophilus ater"
"insects","Molophilus bifidus"
"insects","Molophilus bihamatus"
"insects","Molophilus cinereifrons"
"insects","Molophilus corniger"
"insects","Molophilus crassipygus"
"insects","Molophilus curvatus"
"insects","Molophilus flavus"
"insects","Molophilus griseus"
"insects","Molophilus maurus"
"insects","Molophilus medius"
"insects","Molophilus obscurus"
"insects","Molophilus occultus"
"insects","Molophilus ochraceus"
"insects","Molophilus pleuralis"
"insects","Molophilus propinquus propinquus"
"insects","Molophilus serpentiger"
"insects","Neolimnophila carteri"
"insects","Neolimnophila placida"
"insects","Ormosia sootryeni"
"insects","Ormosia aciculata"
"insects","Ormosia brevinervis"
"insects","Ormosia clavata"
"insects","Ormosia depilata"
"insects","Ormosia fascipennis"
"insects","Ormosia hederae"
"insects","Ormosia lineata"
"insects","Ormosia nodulosa"
"insects","Ormosia pseudosimilis"
"insects","Ormosia ruficauda"
"insects","Ormosia staegeriana"
"insects","Phyllolabis macroura"
"insects","Rhabdomastix cunctans"
"insects","Rhabdomastix laeta"
"insects","Rhabdomastix lapponica"
"insects","Rhabdomastix parva"
"insects","Rhypholophus bifurcatus"
"insects","Rhypholophus haemorrhoidalis"
"insects","Rhypholophus varius"
"insects","Scleroprocta pentagonalis"
"insects","Scleroprocta sororcula"
"insects","Symplecta lindrothi"
"insects","Symplecta meigeni"
"insects","Symplecta stictica"
"insects","Symplecta hybrida"
"insects","Symplecta intermedia"
"insects","Symplecta novaezemblae scotica"
"insects","Symplecta pilipes"
"insects","Tasiocera fuscescens"
"insects","Tasiocera murina"
"insects","Achyrolimonia decemmaculata"
"insects","Antocha vitripennis"
"insects","Atypophthalmus inustus"
"insects","Dicroanomyia aperta"
"insects","Dicroanomyia autumnalis"
"insects","Dicroanomyia chorea"
"insects","Dicroanomyia consimilis"
"insects","Dicroanomyia didyma"
"insects","Dicroanomyia distendens distendens"
"insects","Dicroanomyia frontalis"
"insects","Dicroanomyia halterata"
"insects","Dicroanomyia handlirschi handlirschi"
"insects","Dicroanomyia hyalinata"
"insects","Dicroanomyia incisurata"
"insects","Dicroanomyia longipennis"
"insects","Dicroanomyia mitis"
"insects","Dicroanomyia modesta"
"insects","Dicroanomyia moniliformis"
"insects","Dicroanomyia omissinervis"
"insects","Dicroanomyia ornata"
"insects","Dicroanomyia patens"
"insects","Dicroanomyia sera"
"insects","Dicroanomyia terraenovae"
"insects","Dicroanomyia ventralis"
"insects","Dicroanomyia zernyi"
"insects","Dicroanomyia schineri"
"insects","Dicroanomyia tristis"
"insects","Dicroanomyia danica"
"insects","Dicroanomyia esbeni"
"insects","Dicroanomyia halterella"
"insects","Dicroanomyia intricata"
"insects","Dicroanomyia klefbecki"
"insects","Dicroanomyia lulensis"
"insects","Dicroanomyia magnicauda"
"insects","Dicroanomyia melleicauda complicata"
"insects","Dicroanomyia melleicauda stenoptera"
"insects","Dicroanomyia murina"
"insects","Dicroanomyia nigristigma"
"insects","Dicroanomyia ponojensis"
"insects","Dicroanomyia stigmatica"
"insects","Dicroanomyia caledonica"
"insects","Dicroanomyia morio"
"insects","Dicroanomyia occidua"
"insects","Dicroanomyia rufiventris"
"insects","Dicroanomyia stylifera"
"insects","Dicroanomyia fusca"
"insects","Dicranoptycha cinerascens"
"insects","Dicranoptycha fuscescens"
"insects","Discobola annulata"
"insects","Discobola caesarea"
"insects","Discobola parvispinula"
"insects","Elephantomyia edwardsi"
"insects","Helius flavus"
"insects","Helius longirostris  longirostris"
"insects","Helius pallirostris"
"insects","Libnotes ladogensis"
"insects","Limonia dilutior"
"insects","Limonia flavipes"
"insects","Limonia interjecta"
"insects","Limonia macrostigma"
"insects","Limonia maculicosta"
"insects","Limonia messaurea messaurea"
"insects","Limonia nigropunctata nigropunctata"
"insects","Limonia nubeculosa"
"insects","Limonia phragmitidis"
"insects","Limonia stigma"
"insects","Limonia sylvicola"
"insects","Limonia trivittata"
"insects","Lipsothrix ecucullata"
"insects","Lipsothrix errans"
"insects","Lipsothrix remota"
"insects","Metalimnobia bifasciata bifasciata"
"insects","Metalimnobia quadrimaculata"
"insects","Metalimnobia quadrinotata quadrinotata"
"insects","Metalimnobia zetterstedti"
"insects","Neolimonia dumetorum"
"insects","Orimarga attenuata"
"insects","Orimarga juvenilis"
"insects","Orimarga virgo"
"insects","Rhipidia maculata"
"insects","Rhipidia uniseriata uniseriata"
"insects","Sycorax feuerborni"
"insects","Sycorax silacea"
"insects","Trichomyia urbica"
"insects","Berdeniella freyi"
"insects","Ulomyia fuliginosa"
"insects","Satchelliella borealis"
"insects","Satchelliella canescens"
"insects","Satchelliella compta"
"insects","Satchelliella cubitospinosa"
"insects","Satchelliella mutua"
"insects","Satchelliella nubila"
"insects","Satchelliella palustris"
"insects","Satchelliella pilularia"
"insects","Satchelliella stammeri"
"insects","Satchelliella trivialis"
"insects","Pericoma blandula"
"insects","Pericoma formosa"
"insects","Pericoma rivularis"
"insects","Pericoma trifasciata"
"insects","Lobulosa pollex"
"insects","Tonnoiriella anderssoni"
"insects","Tonnoiriella nigricauda"
"insects","Tonnoiriella pulchra"
"insects","Clytocerus ocellaris"
"insects","Bazarella subneglecta"
"insects","Bazarella neglecta"
"insects","Tinearia alternata"
"insects","Tinearia lativentris"
"insects","Copropsychoda brevicornis"
"insects","Psychoda albipennis"
"insects","Psychoda cinerea"
"insects","Psychoda gemina"
"insects","Psychoda grisescens"
"insects","Psychoda lobata"
"insects","Psychoda minuta"
"insects","Psychoda parthenogenetica"
"insects","Psychoda phalaenoides"
"insects","Psychoda setigera"
"insects","Psychoda surcoufi"
"insects","Psychoda trinodulosa"
"insects","Paramormia fratercula"
"insects","Paramormia ustulata"
"insects","Phyllotelmatoscopus decipiens"
"insects","Panimerus albifacies"
"insects","Panimerus albomaculatus"
"insects","Panimerus maynei"
"insects","Panimerus notabilis"
"insects","Mormia eatoni"
"insects","Jungiella danica"
"insects","Jungiella consors"
"insects","Jungiella interna"
"insects","Jungiella longicornis"
"insects","Telmatoscopus ambiguus"
"insects","Telmatoscopus incanus"
"insects","Telmatoscopus labeculosus"
"insects","Telmatoscopus similis"
"insects","Peripsychoda auriculata"
"insects","Peripsychoda fusca"
"insects","Feuerborniella obscura"
"insects","Threticus lucifugus"
"insects","Trichopsychoda hirtella"
